"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"< 1 year"	"1"	246	28712	856.8
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"1-4 years"	"1-4"	54	115715	46.7
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"5-14 years"	"5-14"	84	308159	27.3
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"15-24 years"	"15-24"	234	316324	74.0
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"25-34 years"	"25-34"	323	308250	104.8
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"35-44 years"	"35-44"	728	351301	207.2
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"45-54 years"	"45-54"	1161	301328	385.3
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"55-64 years"	"55-64"	1936	216486	894.3
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"65-74 years"	"65-74"	3789	176811	2143.0
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"75-84 years"	"75-84"	6559	121921	5379.7
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"85+ years"	"85+"	7489	48252	15520.6
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"< 1 year"	"1"	360	30075	1197.0
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"1-4 years"	"1-4"	67	120438	55.6
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"5-14 years"	"5-14"	100	324969	30.8
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"15-24 years"	"15-24"	518	317647	163.1
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"25-34 years"	"25-34"	570	300073	190.0
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"35-44 years"	"35-44"	1159	335631	345.3
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"45-54 years"	"45-54"	1996	284323	702.0
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"55-64 years"	"55-64"	3105	194056	1600.1
