"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"< 1 year"	"0"	167	27728	602.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"1 year"	"1"	Suppressed	28443	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"2 years"	"2"	Suppressed	29257	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"3 years"	"3"	Suppressed	29473	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"4 years"	"4"	Suppressed	29038	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"5 years"	"5"	Suppressed	28545	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"6 years"	"6"	Suppressed	29137	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"7 years"	"7"	Suppressed	29030	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"8 years"	"8"	Suppressed	29421	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"9 years"	"9"	Suppressed	29700	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"10 years"	"10"	Suppressed	30972	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"11 years"	"11"	Suppressed	30781	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"12 years"	"12"	Suppressed	30264	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"13 years"	"13"	Suppressed	30108	Suppressed
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"14 years"	"14"	0	30093	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"15 years"	"15"	12	30307	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"16 years"	"16"	11	30409	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"17 years"	"17"	16	31958	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"18 years"	"18"	16	31675	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"19 years"	"19"	16	31348	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"20 years"	"20"	16	32020	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"21 years"	"21"	22	32157	68.4
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"22 years"	"22"	20	32096	62.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"23 years"	"23"	27	32484	83.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"24 years"	"24"	26	32807	79.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"25 years"	"25"	29	32600	89.0
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"26 years"	"26"	31	33983	91.2
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"27 years"	"27"	31	35592	87.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"28 years"	"28"	34	35223	96.5
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"29 years"	"29"	44	33264	132.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"30 years"	"30"	36	31721	113.5
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"31 years"	"31"	29	30651	94.6
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"32 years"	"32"	35	30910	113.2
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"33 years"	"33"	46	31481	146.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"34 years"	"34"	39	30718	127.0
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"35 years"	"35"	46	31081	148.0
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"36 years"	"36"	64	31353	204.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"37 years"	"37"	62	31350	197.8
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"38 years"	"38"	62	32132	193.0
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"39 years"	"39"	65	30411	213.7
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"40 years"	"40"	63	30170	208.8
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"41 years"	"41"	86	30249	284.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"42 years"	"42"	77	28941	266.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"43 years"	"43"	90	30074	299.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"44 years"	"44"	85	29603	287.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"45 years"	"45"	94	30594	307.2
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"46 years"	"46"	105	31963	328.5
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"47 years"	"47"	131	33905	386.4
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"48 years"	"48"	142	33403	425.1
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"49 years"	"49"	127	31340	405.2
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"50 years"	"50"	155	30654	505.6
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"51 years"	"51"	156	30689	508.3
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"52 years"	"52"	167	31776	525.6
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	"53 years"	"53"	165	34036	484.8
